APP_ID,IPHONECAKE_LINK,HIPSTORE_LINK,TOTAL_DOWNLOAD
1002132680,https://www.iphonecake.com/app_1002132680_.html,http://ios.hipstore.mobi/app/Super-Stickman-Golf-3/1000007870,
1098307964,https://www.iphonecake.com/app_1098307964_.html,http://ios.hipstore.mobi/app/Iron-Maiden-Legacy-of-the-Beast/1000007869,
1117365978,https://www.iphonecake.com/app_1117365978_.html,http://ios.hipstore.mobi/app/LEGO-City-My-City-2/1000007863,
1091154663,https://www.iphonecake.com/app_1091154663_.html,http://ios.hipstore.mobi/app/Groove-Galaxy/1000007862,
1116046099,https://www.iphonecake.com/app_1116046099_.html,http://ios.hipstore.mobi/app/Fancy-Cats/1000007861,1604
1080345135,https://www.iphonecake.com/app_1080345135_.html,http://ios.hipstore.mobi/app/Heavy-Metal-Tennis-Training/1000007860,1358
1126563858,https://www.iphonecake.com/app_1126563858_.html,http://ios.hipstore.mobi/app/The-Counter-Of-Death/1000007859,1842
1017619490,https://www.iphonecake.com/app_1017619490_.html,http://ios.hipstore.mobi/app/7-Mages/1000007857,1194
1106217529,https://www.iphonecake.com/app_1106217529_.html,http://ios.hipstore.mobi/app/Cube-Roll/1000007856,1354
1094114259,https://www.iphonecake.com/app_1094114259_.html,http://ios.hipstore.mobi/app/Brave-Diggers/1000007855,1565
1098326311,https://www.iphonecake.com/app_1098326311_.html,http://ios.hipstore.mobi/app/Ring-Mania/1000007854,1419
1120437406,https://www.iphonecake.com/app_1120437406_.html,http://ios.hipstore.mobi/app/Cubicle/1000007850,1518
937922348,https://www.iphonecake.com/app_937922348_.html,http://ios.hipstore.mobi/app/Big-Win-Football-2016/1000007849,1846
1055397979,https://www.iphonecake.com/app_1055397979_.html,http://ios.hipstore.mobi/app/Tap-My-Katamari-Endless-Cosmic-Clicker/1000007848,1063
1091512762,https://www.iphonecake.com/app_1091512762_.html,http://ios.hipstore.mobi/app/Shadowverse/1000007845,1181
966809337,https://www.iphonecake.com/app_966809337_.html,http://ios.hipstore.mobi/app/Spirit-Guardian-Vanguard-Rush/1000007844,1266
1057554325,https://www.iphonecake.com/app_1057554325_.html,http://ios.hipstore.mobi/app/Tracky-Train/1000007838,1631
1110286206,https://www.iphonecake.com/app_1110286206_.html,http://ios.hipstore.mobi/app/MOBA-Legends/1000007837,1620
1089048531,https://www.iphonecake.com/app_1089048531_.html,http://ios.hipstore.mobi/app/Gordon-Ramsay-DASH/1000007831,1414
959820493,https://www.iphonecake.com/app_959820493_.html,http://ios.hipstore.mobi/app/Mobile-VR-Station/1000007827,1890
1058370552,https://www.iphonecake.com/app_1058370552_.html,http://ios.hipstore.mobi/app/Farm-Heroes-Super-Saga/1000007826,1094
1044225211,https://www.iphonecake.com/app_1044225211_.html,http://ios.hipstore.mobi/app/Critter-Academy/1000007824,1816
1124187470,https://www.iphonecake.com/app_1124187470_.html,http://ios.hipstore.mobi/app/Rio-2016-Keyboard/1000007823,1616
